entry,at,order
"""LindaD @ SlQ0PfdcTW"" folds",2022-07-21T21:19:05.795Z,165843834579500
"""Big Kenny @ kjkGhe-DIG"" folds",2022-07-21T21:19:01.411Z,165843834141100
"""Mujip#3060 @ WjfpSUdWAD"" calls 60",2022-07-21T21:18:57.389Z,165843833738900
"""chani215 @ tP1D1zecbq"" calls 60",2022-07-21T21:18:53.610Z,165843833361000
"""Jojo Wincherst @ q5q5h0tx8Q"" folds",2022-07-21T21:18:50.150Z,165843833015000
"""spicychicken @ UbHAEFhDe4"" calls 60",2022-07-21T21:18:45.638Z,165843832563800
"""Mathematician @ SkC_IGMS6x"" posts a big blind of 60",2022-07-21T21:18:43.323Z,165843832332310
"""LindaD @ SlQ0PfdcTW"" posts a small blind of 30",2022-07-21T21:18:43.323Z,165843832332309
"Your hand is 8♠, 7♣",2022-07-21T21:18:43.323Z,165843832332305
"Player stacks: #1 ""Jojo Wincherst @ q5q5h0tx8Q"" (900) | #2 ""chani215 @ tP1D1zecbq"" (1045) | #3 ""Mujip#3060 @ WjfpSUdWAD"" (1420) | #4 ""Big Kenny @ kjkGhe-DIG"" (1790) | #5 ""LindaD @ SlQ0PfdcTW"" (475) | #6 ""Mathematician @ SkC_IGMS6x"" (265) | #8 ""spicychicken @ UbHAEFhDe4"" (2105)",2022-07-21T21:18:43.323Z,165843832332301
"-- starting hand #11  (No Limit Texas Hold'em) (dealer: ""Big Kenny @ kjkGhe-DIG"") --",2022-07-21T21:18:43.323Z,165843832332300
"-- ending hand #10 --",2022-07-21T21:18:37.316Z,165843831731602
"""Big Kenny @ kjkGhe-DIG"" collected 900 from pot with Straight, K High (combination: K♥, Q♣, J♥, 10♥, 9♠)",2022-07-21T21:18:37.316Z,165843831731601
"""Big Kenny @ kjkGhe-DIG"" shows a 10♥, 9♠.",2022-07-21T21:18:37.316Z,165843831731600
"""chani215 @ tP1D1zecbq"" checks",2022-07-21T21:18:36.453Z,165843831645300
"""Big Kenny @ kjkGhe-DIG"" checks",2022-07-21T21:18:35.373Z,165843831537300
"River: 3♣, J♥, 9♦, K♥ [Q♣]",2022-07-21T21:18:30.113Z,165843831011300
"""Big Kenny @ kjkGhe-DIG"" calls 300",2022-07-21T21:18:29.242Z,165843830924200
"""chani215 @ tP1D1zecbq"" bets 300",2022-07-21T21:18:24.012Z,165843830401200
"""Big Kenny @ kjkGhe-DIG"" checks",2022-07-21T21:18:20.215Z,165843830021500
"Turn: 3♣, J♥, 9♦ [K♥]",2022-07-21T21:18:15.007Z,165843829500700
"""chani215 @ tP1D1zecbq"" calls 60",2022-07-21T21:18:14.197Z,165843829419700
"""LindaD @ SlQ0PfdcTW"" folds",2022-07-21T21:18:10.407Z,165843829040700
"""Big Kenny @ kjkGhe-DIG"" bets 60",2022-07-21T21:18:06.761Z,165843828676100
"Flop:  [3♣, J♥, 9♦]",2022-07-21T21:18:04.405Z,165843828440500
"""LindaD @ SlQ0PfdcTW"" checks",2022-07-21T21:18:03.565Z,165843828356500
"""Big Kenny @ kjkGhe-DIG"" calls 60",2022-07-21T21:18:02.624Z,165843828262400
"""Mujip#3060 @ WjfpSUdWAD"" folds",2022-07-21T21:17:55.601Z,165843827560100
"""chani215 @ tP1D1zecbq"" calls 60",2022-07-21T21:17:54.628Z,165843827462800
"""Jojo Wincherst @ q5q5h0tx8Q"" folds",2022-07-21T21:17:44.092Z,165843826409200
"""spicychicken @ UbHAEFhDe4"" folds",2022-07-21T21:17:41.554Z,165843826155400
"""Mathematician @ SkC_IGMS6x"" folds",2022-07-21T21:17:39.662Z,165843825966200
"""LindaD @ SlQ0PfdcTW"" posts a big blind of 60",2022-07-21T21:17:36.904Z,165843825690410
"""Big Kenny @ kjkGhe-DIG"" posts a small blind of 30",2022-07-21T21:17:36.904Z,165843825690409
"Your hand is 10♥, 9♠",2022-07-21T21:17:36.904Z,165843825690405
"Player stacks: #1 ""Jojo Wincherst @ q5q5h0tx8Q"" (900) | #2 ""chani215 @ tP1D1zecbq"" (1465) | #3 ""Mujip#3060 @ WjfpSUdWAD"" (1420) | #4 ""Big Kenny @ kjkGhe-DIG"" (1310) | #5 ""LindaD @ SlQ0PfdcTW"" (535) | #6 ""Mathematician @ SkC_IGMS6x"" (265) | #8 ""spicychicken @ UbHAEFhDe4"" (2105)",2022-07-21T21:17:36.904Z,165843825690401
"-- starting hand #10  (No Limit Texas Hold'em) (dealer: ""Mujip#3060 @ WjfpSUdWAD"") --",2022-07-21T21:17:36.904Z,165843825690400
"-- ending hand #9 --",2022-07-21T21:17:33.965Z,165843825396502
"""Mujip#3060 @ WjfpSUdWAD"" collected 120 from pot",2022-07-21T21:17:33.965Z,165843825396501
"Uncalled bet of 120 returned to ""Mujip#3060 @ WjfpSUdWAD""",2022-07-21T21:17:33.965Z,165843825396500
"""Big Kenny @ kjkGhe-DIG"" folds",2022-07-21T21:17:33.104Z,165843825310400
"""Mujip#3060 @ WjfpSUdWAD"" bets 120",2022-07-21T21:17:26.925Z,165843824692500
"River: 8♥, Q♣, 4♣, A♥ [8♦]",2022-07-21T21:17:20.689Z,165843824068900
"""Big Kenny @ kjkGhe-DIG"" checks",2022-07-21T21:17:19.882Z,165843823988200
"""Mujip#3060 @ WjfpSUdWAD"" checks",2022-07-21T21:17:18.588Z,165843823858800
"Turn: 8♥, Q♣, 4♣ [A♥]",2022-07-21T21:17:18.438Z,165843823843800
"""Big Kenny @ kjkGhe-DIG"" checks",2022-07-21T21:17:17.571Z,165843823757100
"""Mujip#3060 @ WjfpSUdWAD"" checks",2022-07-21T21:17:16.661Z,165843823666100
"Flop:  [8♥, Q♣, 4♣]",2022-07-21T21:17:08.885Z,165843822888500
"""Big Kenny @ kjkGhe-DIG"" checks",2022-07-21T21:17:08.058Z,165843822805800
"""Mujip#3060 @ WjfpSUdWAD"" calls 60",2022-07-21T21:17:04.267Z,165843822426700
"""chani215 @ tP1D1zecbq"" folds",2022-07-21T21:17:03.320Z,165843822332000
"""Jojo Wincherst @ q5q5h0tx8Q"" folds",2022-07-21T21:17:02.467Z,165843822246700
"""spicychicken @ UbHAEFhDe4"" folds",2022-07-21T21:16:59.357Z,165843821935700
"""Mathematician @ SkC_IGMS6x"" folds",2022-07-21T21:16:55.147Z,165843821514700
"""LindaD @ SlQ0PfdcTW"" folds",2022-07-21T21:16:52.677Z,165843821267700
"""Big Kenny @ kjkGhe-DIG"" posts a big blind of 60",2022-07-21T21:16:48.321Z,165843820832112
"""Mujip#3060 @ WjfpSUdWAD"" posts a small blind of 30",2022-07-21T21:16:48.321Z,165843820832111
"Your hand is K♦, 10♣",2022-07-21T21:16:48.321Z,165843820832107
"Player stacks: #1 ""Jojo Wincherst @ q5q5h0tx8Q"" (900) | #2 ""chani215 @ tP1D1zecbq"" (1465) | #3 ""Mujip#3060 @ WjfpSUdWAD"" (1360) | #4 ""Big Kenny @ kjkGhe-DIG"" (1370) | #5 ""LindaD @ SlQ0PfdcTW"" (535) | #6 ""Mathematician @ SkC_IGMS6x"" (265) | #8 ""spicychicken @ UbHAEFhDe4"" (2105)",2022-07-21T21:16:48.321Z,165843820832103
"-- starting hand #9  (No Limit Texas Hold'em) (dealer: ""chani215 @ tP1D1zecbq"") --",2022-07-21T21:16:48.321Z,165843820832102
"The game's big blind was changed from 40 to 60.",2022-07-21T21:16:48.321Z,165843820832101
"The game's small blind was changed from 20 to 30.",2022-07-21T21:16:48.321Z,165843820832100
"-- ending hand #8 --",2022-07-21T21:16:42.317Z,165843820231704
"""Mathematician @ SkC_IGMS6x"" shows a K♣, A♠.",2022-07-21T21:16:42.317Z,165843820231703
"""Mujip#3060 @ WjfpSUdWAD"" shows a 6♠, J♦.",2022-07-21T21:16:42.317Z,165843820231702
"""spicychicken @ UbHAEFhDe4"" collected 2105 from pot with Flush, Ks High (combination: K♠, 8♠, 4♠, 3♠, 2♠)",2022-07-21T21:16:42.317Z,165843820231701
"""spicychicken @ UbHAEFhDe4"" shows a 2♠, 3♠.",2022-07-21T21:16:42.317Z,165843820231700
"""Mathematician @ SkC_IGMS6x"" checks",2022-07-21T21:16:41.498Z,165843820149800
"""Mujip#3060 @ WjfpSUdWAD"" checks",2022-07-21T21:16:39.785Z,165843819978500
"River: 4♠, 8♠, K♠, 5♥ [J♣]",2022-07-21T21:16:34.799Z,165843819479900
"""Mathematician @ SkC_IGMS6x"" checks",2022-07-21T21:16:33.933Z,165843819393300
"""Mujip#3060 @ WjfpSUdWAD"" checks",2022-07-21T21:16:30.727Z,165843819072700
"Turn: 4♠, 8♠, K♠ [5♥]",2022-07-21T21:16:26.459Z,165843818645900
"""Mathematician @ SkC_IGMS6x"" calls 595",2022-07-21T21:16:25.637Z,165843818563700
"""Mujip#3060 @ WjfpSUdWAD"" calls 595",2022-07-21T21:16:23.547Z,165843818354700
"""chani215 @ tP1D1zecbq"" folds",2022-07-21T21:16:19.818Z,165843817981800
"""spicychicken @ UbHAEFhDe4"" raises to 595 and go all in",2022-07-21T21:16:18.041Z,165843817804100
"""Mathematician @ SkC_IGMS6x"" calls 160",2022-07-21T21:16:14.501Z,165843817450100
"""Mujip#3060 @ WjfpSUdWAD"" bets 160",2022-07-21T21:16:10.446Z,165843817044600
"""chani215 @ tP1D1zecbq"" checks",2022-07-21T21:16:06.912Z,165843816691200
"Flop:  [4♠, 8♠, K♠]",2022-07-21T21:16:02.781Z,165843816278100
"""Mujip#3060 @ WjfpSUdWAD"" calls 80",2022-07-21T21:16:01.938Z,165843816193800
"""chani215 @ tP1D1zecbq"" calls 80",2022-07-21T21:15:59.400Z,165843815940000
"""Jojo Wincherst @ q5q5h0tx8Q"" folds",2022-07-21T21:15:57.057Z,165843815705700
"""spicychicken @ UbHAEFhDe4"" calls 80",2022-07-21T21:15:56.214Z,165843815621400
"""Mathematician @ SkC_IGMS6x"" raises to 80",2022-07-21T21:15:54.200Z,165843815420000
"""LindaD @ SlQ0PfdcTW"" folds",2022-07-21T21:15:49.207Z,165843814920700
"""Big Kenny @ kjkGhe-DIG"" folds",2022-07-21T21:15:48.322Z,165843814832200
"""Mujip#3060 @ WjfpSUdWAD"" posts a big blind of 40",2022-07-21T21:15:38.609Z,165843813860910
"""chani215 @ tP1D1zecbq"" posts a small blind of 20",2022-07-21T21:15:38.609Z,165843813860909
"Your hand is 4♣, 5♣",2022-07-21T21:15:38.609Z,165843813860905
"Player stacks: #1 ""Jojo Wincherst @ q5q5h0tx8Q"" (900) | #2 ""chani215 @ tP1D1zecbq"" (1545) | #3 ""Mujip#3060 @ WjfpSUdWAD"" (2035) | #4 ""Big Kenny @ kjkGhe-DIG"" (1370) | #5 ""LindaD @ SlQ0PfdcTW"" (535) | #6 ""Mathematician @ SkC_IGMS6x"" (940) | #8 ""spicychicken @ UbHAEFhDe4"" (675)",2022-07-21T21:15:38.609Z,165843813860901
"-- starting hand #8  (No Limit Texas Hold'em) (dealer: ""Jojo Wincherst @ q5q5h0tx8Q"") --",2022-07-21T21:15:38.609Z,165843813860900
"-- ending hand #7 --",2022-07-21T21:15:35.675Z,165843813567502
"""Mujip#3060 @ WjfpSUdWAD"" collected 200 from pot",2022-07-21T21:15:35.675Z,165843813567501
"Uncalled bet of 150 returned to ""Mujip#3060 @ WjfpSUdWAD""",2022-07-21T21:15:35.675Z,165843813567500
"""chani215 @ tP1D1zecbq"" folds",2022-07-21T21:15:34.868Z,165843813486800
"""Jojo Wincherst @ q5q5h0tx8Q"" folds",2022-07-21T21:15:30.797Z,165843813079700
"""spicychicken @ UbHAEFhDe4"" folds",2022-07-21T21:15:23.640Z,165843812364000
"""LindaD @ SlQ0PfdcTW"" folds",2022-07-21T21:15:22.796Z,165843812279600
"""Mujip#3060 @ WjfpSUdWAD"" bets 150",2022-07-21T21:15:08.447Z,165843810844700
"""chani215 @ tP1D1zecbq"" checks",2022-07-21T21:14:53.711Z,165843809371100
"""Jojo Wincherst @ q5q5h0tx8Q"" checks",2022-07-21T21:14:43.417Z,165843808341700
"Turn: 3♠, Q♦, 5♣ [2♠]",2022-07-21T21:14:40.387Z,165843808038700
"""spicychicken @ UbHAEFhDe4"" checks",2022-07-21T21:14:39.584Z,165843807958400
"""LindaD @ SlQ0PfdcTW"" checks",2022-07-21T21:14:38.721Z,165843807872100
"""Mujip#3060 @ WjfpSUdWAD"" checks",2022-07-21T21:14:29.845Z,165843806984500
"""chani215 @ tP1D1zecbq"" checks",2022-07-21T21:14:25.175Z,165843806517500
"""Jojo Wincherst @ q5q5h0tx8Q"" checks",2022-07-21T21:14:24.308Z,165843806430800
"Flop:  [3♠, Q♦, 5♣]",2022-07-21T21:14:10.976Z,165843805097600
"""chani215 @ tP1D1zecbq"" checks",2022-07-21T21:14:10.116Z,165843805011600
"""Jojo Wincherst @ q5q5h0tx8Q"" calls 40",2022-07-21T21:14:07.094Z,165843804709400
"""spicychicken @ UbHAEFhDe4"" calls 40",2022-07-21T21:14:05.815Z,165843804581500
"""Mathematician @ SkC_IGMS6x"" folds",2022-07-21T21:14:04.966Z,165843804496600
"""LindaD @ SlQ0PfdcTW"" calls 40",2022-07-21T21:13:52.544Z,165843803254400
"""Big Kenny @ kjkGhe-DIG"" folds",2022-07-21T21:13:50.432Z,165843803043200
"""Mujip#3060 @ WjfpSUdWAD"" calls 40",2022-07-21T21:13:49.396Z,165843802939600
"""chani215 @ tP1D1zecbq"" posts a big blind of 40",2022-07-21T21:13:46.361Z,165843802636110
"""Jojo Wincherst @ q5q5h0tx8Q"" posts a small blind of 20",2022-07-21T21:13:46.361Z,165843802636109
"Your hand is 7♦, Q♥",2022-07-21T21:13:46.361Z,165843802636105
"Player stacks: #1 ""Jojo Wincherst @ q5q5h0tx8Q"" (940) | #2 ""chani215 @ tP1D1zecbq"" (1585) | #3 ""Mujip#3060 @ WjfpSUdWAD"" (1875) | #4 ""Big Kenny @ kjkGhe-DIG"" (1370) | #5 ""LindaD @ SlQ0PfdcTW"" (575) | #6 ""Mathematician @ SkC_IGMS6x"" (940) | #8 ""spicychicken @ UbHAEFhDe4"" (715)",2022-07-21T21:13:46.361Z,165843802636101
"-- starting hand #7  (No Limit Texas Hold'em) (dealer: ""spicychicken @ UbHAEFhDe4"") --",2022-07-21T21:13:46.361Z,165843802636100
"-- ending hand #6 --",2022-07-21T21:13:43.363Z,165843802336302
"""Big Kenny @ kjkGhe-DIG"" collected 320 from pot",2022-07-21T21:13:43.363Z,165843802336301
"Uncalled bet of 120 returned to ""Big Kenny @ kjkGhe-DIG""",2022-07-21T21:13:43.363Z,165843802336300
"""spicychicken @ UbHAEFhDe4"" folds",2022-07-21T21:13:42.544Z,165843802254400
"""LindaD @ SlQ0PfdcTW"" folds",2022-07-21T21:13:41.547Z,165843802154700
"""Big Kenny @ kjkGhe-DIG"" bets 120",2022-07-21T21:13:39.661Z,165843801966100
"""spicychicken @ UbHAEFhDe4"" checks",2022-07-21T21:13:30.081Z,165843801008100
"River: 3♣, 6♠, 6♣, 9♣ [2♣]",2022-07-21T21:13:27.033Z,165843800703300
"""LindaD @ SlQ0PfdcTW"" calls 40",2022-07-21T21:13:26.214Z,165843800621400
"""Big Kenny @ kjkGhe-DIG"" calls 40",2022-07-21T21:13:21.274Z,165843800127400
"""chani215 @ tP1D1zecbq"" folds",2022-07-21T21:13:20.381Z,165843800038100
"""Jojo Wincherst @ q5q5h0tx8Q"" folds",2022-07-21T21:13:15.106Z,165843799510600
"""spicychicken @ UbHAEFhDe4"" bets 40",2022-07-21T21:13:09.826Z,165843798982600
"Turn: 3♣, 6♠, 6♣ [9♣]",2022-07-21T21:13:03.895Z,165843798389500
"""LindaD @ SlQ0PfdcTW"" checks",2022-07-21T21:13:03.059Z,165843798305900
"""Big Kenny @ kjkGhe-DIG"" checks",2022-07-21T21:13:01.386Z,165843798138600
"""chani215 @ tP1D1zecbq"" checks",2022-07-21T21:13:00.369Z,165843798036900
"""Jojo Wincherst @ q5q5h0tx8Q"" checks",2022-07-21T21:12:58.940Z,165843797894000
"""spicychicken @ UbHAEFhDe4"" checks",2022-07-21T21:12:58.089Z,165843797808900
"Flop:  [3♣, 6♠, 6♣]",2022-07-21T21:12:48.735Z,165843796873500
"""Jojo Wincherst @ q5q5h0tx8Q"" checks",2022-07-21T21:12:47.918Z,165843796791800
"""spicychicken @ UbHAEFhDe4"" calls 40",2022-07-21T21:12:47.042Z,165843796704200
"""Mathematician @ SkC_IGMS6x"" folds",2022-07-21T21:12:46.185Z,165843796618500
"""LindaD @ SlQ0PfdcTW"" calls 40",2022-07-21T21:12:44.575Z,165843796457500
"""Big Kenny @ kjkGhe-DIG"" calls 40",2022-07-21T21:12:42.006Z,165843796200600
"""Mujip#3060 @ WjfpSUdWAD"" folds",2022-07-21T21:12:30.736Z,165843795073600
"""chani215 @ tP1D1zecbq"" calls 40",2022-07-21T21:12:29.791Z,165843794979100
"""Jojo Wincherst @ q5q5h0tx8Q"" posts a big blind of 40",2022-07-21T21:12:25.711Z,165843794571110
"""spicychicken @ UbHAEFhDe4"" posts a small blind of 20",2022-07-21T21:12:25.711Z,165843794571109
"Your hand is 8♥, A♣",2022-07-21T21:12:25.711Z,165843794571105
"Player stacks: #1 ""Jojo Wincherst @ q5q5h0tx8Q"" (980) | #2 ""chani215 @ tP1D1zecbq"" (1625) | #3 ""Mujip#3060 @ WjfpSUdWAD"" (1875) | #4 ""Big Kenny @ kjkGhe-DIG"" (1130) | #5 ""LindaD @ SlQ0PfdcTW"" (655) | #6 ""Mathematician @ SkC_IGMS6x"" (940) | #8 ""spicychicken @ UbHAEFhDe4"" (795)",2022-07-21T21:12:25.711Z,165843794571101
"-- starting hand #6  (No Limit Texas Hold'em) (dead button) --",2022-07-21T21:12:25.711Z,165843794571100
"-- ending hand #5 --",2022-07-21T21:12:22.787Z,165843794278702
"""Big Kenny @ kjkGhe-DIG"" collected 240 from pot",2022-07-21T21:12:22.787Z,165843794278701
"Uncalled bet of 240 returned to ""Big Kenny @ kjkGhe-DIG""",2022-07-21T21:12:22.787Z,165843794278700
"""chani215 @ tP1D1zecbq"" folds",2022-07-21T21:12:21.959Z,165843794195900
"""spicychicken @ UbHAEFhDe4"" folds",2022-07-21T21:12:18.112Z,165843793811200
"""Big Kenny @ kjkGhe-DIG"" bets 240",2022-07-21T21:12:13.027Z,165843793302700
"""chani215 @ tP1D1zecbq"" checks",2022-07-21T21:12:09.559Z,165843792955900
"""spicychicken @ UbHAEFhDe4"" checks",2022-07-21T21:12:06.753Z,165843792675300
"Flop:  [10♠, 2♦, Q♥]",2022-07-21T21:11:53.620Z,165843791362000
"""chani215 @ tP1D1zecbq"" calls 80",2022-07-21T21:11:52.797Z,165843791279700
"""spicychicken @ UbHAEFhDe4"" calls 80",2022-07-21T21:11:38.038Z,165843789803800
"""Mathematician @ SkC_IGMS6x"" folds",2022-07-21T21:11:34.045Z,165843789404500
"""LindaD @ SlQ0PfdcTW"" folds",2022-07-21T21:11:32.233Z,165843789223300
"""Big Kenny @ kjkGhe-DIG"" raises to 80",2022-07-21T21:11:29.102Z,165843788910200
"""Mujip#3060 @ WjfpSUdWAD"" folds",2022-07-21T21:11:24.733Z,165843788473300
"""chani215 @ tP1D1zecbq"" calls 40",2022-07-21T21:11:23.776Z,165843788377600
"""Jojo Wincherst @ q5q5h0tx8Q"" folds",2022-07-21T21:11:20.495Z,165843788049500
"""spicychicken @ UbHAEFhDe4"" posts a big blind of 40",2022-07-21T21:11:08.462Z,165843786846213
"Dead Small Blind",2022-07-21T21:11:08.462Z,165843786846212
"Your hand is K♦, K♥",2022-07-21T21:11:08.462Z,165843786846208
"Player stacks: #1 ""Jojo Wincherst @ q5q5h0tx8Q"" (980) | #2 ""chani215 @ tP1D1zecbq"" (1705) | #3 ""Mujip#3060 @ WjfpSUdWAD"" (1875) | #4 ""Big Kenny @ kjkGhe-DIG"" (970) | #5 ""LindaD @ SlQ0PfdcTW"" (655) | #6 ""Mathematician @ SkC_IGMS6x"" (940) | #8 ""spicychicken @ UbHAEFhDe4"" (875)",2022-07-21T21:11:08.462Z,165843786846204
"-- starting hand #5  (No Limit Texas Hold'em) (dealer: ""Mathematician @ SkC_IGMS6x"") --",2022-07-21T21:11:08.462Z,165843786846203
"The game's big blind was changed from 20 to 40.",2022-07-21T21:11:08.462Z,165843786846202
"The game's small blind was changed from 10 to 20.",2022-07-21T21:11:08.462Z,165843786846201
"The player ""Archimedes9 @ bHd3AbMP6r"" quits the game with a stack of 0.",2022-07-21T21:11:08.462Z,165843786846200
"-- ending hand #4 --",2022-07-21T21:11:02.457Z,165843786245701
"""Mujip#3060 @ WjfpSUdWAD"" collected 1750 from pot with Pair, A's (combination: A♦, A♠, 10♠, 9♦, 7♣)",2022-07-21T21:11:02.457Z,165843786245700
"River: 2♥, A♠, 3♣, 7♣ [10♠]",2022-07-21T21:10:58.448Z,165843785844800
"Turn: 2♥, A♠, 3♣ [7♣]",2022-07-21T21:10:54.439Z,165843785443900
"Flop:  [2♥, A♠, 3♣]",2022-07-21T21:10:50.385Z,165843785038500
"""Archimedes9 @ bHd3AbMP6r"" shows a K♣, K♠.",2022-07-21T21:10:46.318Z,165843784631801
"""Mujip#3060 @ WjfpSUdWAD"" shows a A♦, 9♦.",2022-07-21T21:10:46.318Z,165843784631800
"""Mathematician @ SkC_IGMS6x"" folds",2022-07-21T21:10:45.500Z,165843784550000
"""Mujip#3060 @ WjfpSUdWAD"" calls 865",2022-07-21T21:10:37.904Z,165843783790400
"""Archimedes9 @ bHd3AbMP6r"" raises to 865 and go all in",2022-07-21T21:10:30.639Z,165843783063900
"""Mathematician @ SkC_IGMS6x"" calls 20",2022-07-21T21:10:25.798Z,165843782579800
"""LindaD @ SlQ0PfdcTW"" folds",2022-07-21T21:10:19.066Z,165843781906600
"""Big Kenny @ kjkGhe-DIG"" folds",2022-07-21T21:10:17.530Z,165843781753000
"""Mujip#3060 @ WjfpSUdWAD"" calls 20",2022-07-21T21:10:16.526Z,165843781652600
"""chani215 @ tP1D1zecbq"" folds",2022-07-21T21:10:14.010Z,165843781401000
"""Jojo Wincherst @ q5q5h0tx8Q"" folds",2022-07-21T21:10:13.098Z,165843781309800
"""spicychicken @ UbHAEFhDe4"" folds",2022-07-21T21:10:10.146Z,165843781014600
"""Archimedes9 @ bHd3AbMP6r"" posts a big blind of 20",2022-07-21T21:10:06.574Z,165843780657411
"""Mathematician @ SkC_IGMS6x"" posts a small blind of 10",2022-07-21T21:10:06.574Z,165843780657410
"Your hand is 2♦, 8♣",2022-07-21T21:10:06.574Z,165843780657405
"Player stacks: #1 ""Jojo Wincherst @ q5q5h0tx8Q"" (980) | #2 ""chani215 @ tP1D1zecbq"" (1705) | #3 ""Mujip#3060 @ WjfpSUdWAD"" (990) | #4 ""Big Kenny @ kjkGhe-DIG"" (970) | #5 ""LindaD @ SlQ0PfdcTW"" (655) | #6 ""Mathematician @ SkC_IGMS6x"" (960) | #7 ""Archimedes9 @ bHd3AbMP6r"" (865) | #8 ""spicychicken @ UbHAEFhDe4"" (875)",2022-07-21T21:10:06.574Z,165843780657401
"-- starting hand #4  (No Limit Texas Hold'em) (dealer: ""LindaD @ SlQ0PfdcTW"") --",2022-07-21T21:10:06.574Z,165843780657400
"-- ending hand #3 --",2022-07-21T21:10:03.670Z,165843780367002
"""Archimedes9 @ bHd3AbMP6r"" collected 310 from pot",2022-07-21T21:10:03.670Z,165843780367001
"Uncalled bet of 310 returned to ""Archimedes9 @ bHd3AbMP6r""",2022-07-21T21:10:03.670Z,165843780367000
"""Mujip#3060 @ WjfpSUdWAD"" folds",2022-07-21T21:10:02.807Z,165843780280700
"""chani215 @ tP1D1zecbq"" folds",2022-07-21T21:10:01.824Z,165843780182400
"""Jojo Wincherst @ q5q5h0tx8Q"" folds",2022-07-21T21:09:56.314Z,165843779631400
"""spicychicken @ UbHAEFhDe4"" folds",2022-07-21T21:09:55.364Z,165843779536400
"""Archimedes9 @ bHd3AbMP6r"" raises to 400",2022-07-21T21:09:54.475Z,165843779447500
"""Mathematician @ SkC_IGMS6x"" folds",2022-07-21T21:09:49.353Z,165843778935300
"""Mujip#3060 @ WjfpSUdWAD"" bets 90",2022-07-21T21:09:46.368Z,165843778636800
"""chani215 @ tP1D1zecbq"" checks",2022-07-21T21:09:34.234Z,165843777423400
"""Jojo Wincherst @ q5q5h0tx8Q"" checks",2022-07-21T21:09:32.487Z,165843777248700
"""spicychicken @ UbHAEFhDe4"" checks",2022-07-21T21:09:31.599Z,165843777159900
"""Archimedes9 @ bHd3AbMP6r"" checks",2022-07-21T21:09:28.292Z,165843776829200
"""Mathematician @ SkC_IGMS6x"" checks",2022-07-21T21:09:27.293Z,165843776729300
"Flop:  [6♣, 5♠, 8♦]",2022-07-21T21:09:22.923Z,165843776292300
"""Mathematician @ SkC_IGMS6x"" checks",2022-07-21T21:09:22.109Z,165843776210900
"""LindaD @ SlQ0PfdcTW"" folds",2022-07-21T21:09:20.076Z,165843776007600
"""Big Kenny @ kjkGhe-DIG"" folds",2022-07-21T21:09:19.131Z,165843775913100
"""Mujip#3060 @ WjfpSUdWAD"" calls 20",2022-07-21T21:09:14.756Z,165843775475600
"""chani215 @ tP1D1zecbq"" calls 20",2022-07-21T21:09:13.771Z,165843775377100
"""Jojo Wincherst @ q5q5h0tx8Q"" calls 20",2022-07-21T21:09:12.100Z,165843775210000
"""spicychicken @ UbHAEFhDe4"" calls 20",2022-07-21T21:09:10.920Z,165843775092000
"""Archimedes9 @ bHd3AbMP6r"" calls 20",2022-07-21T21:09:08.683Z,165843774868300
"""Mathematician @ SkC_IGMS6x"" posts a big blind of 20",2022-07-21T21:09:05.820Z,165843774582011
"""LindaD @ SlQ0PfdcTW"" posts a small blind of 10",2022-07-21T21:09:05.820Z,165843774582010
"Your hand is 2♦, Q♣",2022-07-21T21:09:05.820Z,165843774582005
"Player stacks: #1 ""Jojo Wincherst @ q5q5h0tx8Q"" (1000) | #2 ""chani215 @ tP1D1zecbq"" (1725) | #3 ""Mujip#3060 @ WjfpSUdWAD"" (1100) | #4 ""Big Kenny @ kjkGhe-DIG"" (970) | #5 ""LindaD @ SlQ0PfdcTW"" (665) | #6 ""Mathematician @ SkC_IGMS6x"" (980) | #7 ""Archimedes9 @ bHd3AbMP6r"" (665) | #8 ""spicychicken @ UbHAEFhDe4"" (895)",2022-07-21T21:09:05.820Z,165843774582001
"-- starting hand #3  (No Limit Texas Hold'em) (dealer: ""Big Kenny @ kjkGhe-DIG"") --",2022-07-21T21:09:05.820Z,165843774582000
"-- ending hand #2 --",2022-07-21T21:09:02.826Z,165843774282602
"""chani215 @ tP1D1zecbq"" collected 1060 from pot",2022-07-21T21:09:02.826Z,165843774282601
"Uncalled bet of 665 returned to ""chani215 @ tP1D1zecbq""",2022-07-21T21:09:02.826Z,165843774282600
"""Archimedes9 @ bHd3AbMP6r"" folds",2022-07-21T21:09:01.981Z,165843774198100
"""LindaD @ SlQ0PfdcTW"" folds",2022-07-21T21:09:00.994Z,165843774099400
"""chani215 @ tP1D1zecbq"" bets 665 and go all in",2022-07-21T21:08:47.560Z,165843772756000
"""Archimedes9 @ bHd3AbMP6r"" checks",2022-07-21T21:08:43.607Z,165843772360700
"""LindaD @ SlQ0PfdcTW"" checks",2022-07-21T21:08:41.958Z,165843772195800
"Turn: 3♥, Q♣, 6♥ [8♥]",2022-07-21T21:08:38.804Z,165843771880400
"""Archimedes9 @ bHd3AbMP6r"" calls 290",2022-07-21T21:08:37.970Z,165843771797000
"""LindaD @ SlQ0PfdcTW"" calls 290",2022-07-21T21:08:35.706Z,165843771570600
"""chani215 @ tP1D1zecbq"" raises to 290",2022-07-21T21:08:30.614Z,165843771061400
"""spicychicken @ UbHAEFhDe4"" folds",2022-07-21T21:08:17.600Z,165843769760000
